machine,bench,lock,result,err
skeleton,sets,TIdLock,26.95,1.78
skeleton,sets,TTASLock,27.90,2.32
skeleton,sets,TASLock,28.71,2.16
skeleton,sets,TwoCounterLock,33.10,5.72
skeleton,sets,BackoffLock,34.85,3.14
skeleton,sets,hpx::mutex,35.95,2.47
skeleton,sets,MCSLock,36.17,5.17
skeleton,sets,IdLock,36.24,3.98
skeleton,sets,hpx::spinlock,40.39,5.68
skeleton,sets,CLHLock,45.63,7.61
skeleton,sets,ALock,46.68,9.71
skeleton,sets,OptimizedALock,59.22,14.61
skeleton,sets,std::mutex,93.93,13.27
skeleton,sets,std::recursive_mutex,130.90,23.60
twilight,locks,hpx::spinlock,2.29,0.45
twilight,locks,TASLock,3.46,2.02
twilight,locks,std::recursive_mutex,3.54,0.50
twilight,locks,IdLock,3.67,1.65
twilight,locks,TIdLock,4.04,1.93
twilight,locks,TTASLock,4.29,1.90
twilight,locks,std::mutex,5.38,1.65
twilight,locks,BackoffLock,5.54,1.96
twilight,locks,TwoCounterLock,14.42,3.97
twilight,locks,MCSLock,19.00,5.77
twilight,locks,ALock,21.62,4.71
twilight,locks,OptimizedALock,21.96,3.43
twilight,locks,CLHLock,23.54,3.87
twilight,locks,hpx::mutex,27.83,3.88
twilight,maps,std::recursive_mutex,9794.05,2393.95
twilight,maps,ALock,10023.64,4038.06
twilight,maps,TwoCounterLock,10097.24,3729.44
twilight,maps,std::mutex,10170.50,2111.68
twilight,maps,CLHLock,10538.68,3635.48
twilight,maps,BackoffLock,10840.14,2456.43
twilight,maps,MCSLock,10896.59,4243.30
twilight,maps,OptimizedALock,11215.59,4486.94
twilight,maps,TTASLock,13393.43,4876.77
twilight,maps,TASLock,13509.38,2735.81
twilight,maps,IdLock,13509.45,3885.76
twilight,maps,TIdLock,14076.05,5578.14
twilight,maps,hpx::mutex,15030.81,812.88
twilight,maps,hpx::spinlock,16964.81,1358.74
twilight,sets,TTASLock,9.00,1.32
twilight,sets,TIdLock,9.04,1.37
twilight,sets,TASLock,9.33,1.49
twilight,sets,hpx::spinlock,11.09,1.78
twilight,sets,IdLock,11.50,1.00
twilight,sets,hpx::mutex,11.73,1.45
twilight,sets,TwoCounterLock,12.62,2.50
twilight,sets,MCSLock,14.00,2.92
twilight,sets,BackoffLock,15.25,4.99
twilight,sets,ALock,18.96,5.49
twilight,sets,CLHLock,20.54,5.66
twilight,sets,OptimizedALock,26.00,9.33
twilight,sets,std::mutex,75.42,10.28
twilight,sets,std::recursive_mutex,81.83,10.34
buran,locks,hpx::spinlock,58.00,0.00
buran,locks,MCSLock,101.09,0.29
buran,locks,CLHLock,104.18,0.47
buran,locks,TIdLock,108.15,0.35
buran,locks,IdLock,108.93,0.26
buran,locks,TwoCounterLock,112.00,0.00
buran,locks,BackoffLock,116.02,4.42
buran,locks,TTASLock,116.25,4.46
buran,locks,TASLock,116.27,4.35
buran,locks,std::recursive_mutex,116.29,0.53
buran,locks,std::mutex,124.04,0.38
buran,locks,OptimizedALock,187.25,0.43
buran,locks,ALock,188.45,0.50
buran,locks,hpx::mutex,418.94,2.28
buran,sets,hpx::spinlock,141.00,0.00
buran,sets,std::recursive_mutex,151.98,0.15
buran,sets,std::mutex,153.00,0.00
buran,sets,TwoCounterLock,153.78,0.41
buran,sets,TASLock,154.83,0.38
buran,sets,BackoffLock,155.49,0.50
buran,sets,TTASLock,155.51,0.50
buran,sets,IdLock,155.54,0.50
buran,sets,CLHLock,156.32,0.47
buran,sets,MCSLock,158.05,6.65
buran,sets,TIdLock,163.78,37.17
buran,sets,hpx::mutex,174.51,0.50
buran,sets,ALock,180.26,0.44
buran,sets,OptimizedALock,193.54,0.50
buran,maps,hpx::spinlock,6.00,0.00
buran,maps,TTASLock,7.95,0.22
buran,maps,TASLock,8.00,0.00
buran,maps,TwoCounterLock,8.00,0.00
buran,maps,IdLock,8.05,0.22
buran,maps,TIdLock,8.07,0.26
buran,maps,BackoffLock,8.12,0.33
buran,maps,std::mutex,8.22,0.42
buran,maps,std::recursive_mutex,9.00,0.00
buran,maps,MCSLock,9.00,0.00
buran,maps,ALock,9.40,0.49
buran,maps,OptimizedALock,9.54,0.50
buran,maps,CLHLock,11.41,0.49
buran,maps,hpx::mutex,14.00,0.00
